Fecha,Nuevas_JH,Nuevas_abiertos
19/02/2020,0,0
20/02/2020,0,0
21/02/2020,0,0
22/02/2020,0,0
23/02/2020,0,0
24/02/2020,0,0
25/02/2020,0,0
26/02/2020,0,0
27/02/2020,0,0
28/02/2020,0,0
29/02/2020,0,0
01/03/2020,0,0
02/03/2020,0,0
03/03/2020,0,0
04/03/2020,0,0
05/03/2020,0,0
06/03/2020,0,0
07/03/2020,0,0
08/03/2020,0,0
09/03/2020,0,0
10/03/2020,0,0
11/03/2020,0,0
12/03/2020,0,0
13/03/2020,0,0
14/03/2020,0,0
15/03/2020,0,0
16/03/2020,0,0
17/03/2020,0,0
18/03/2020,0,3
19/03/2020,1,3
20/03/2020,2,4
21/03/2020,2,4
22/03/2020,2,6
23/03/2020,4,7
24/03/2020,5,10
25/03/2020,6,12
26/03/2020,8,20
27/03/2020,12,29
28/03/2020,16,44
29/03/2020,20,53
30/03/2020,28,67
31/03/2020,29,93
01/04/2020,37,115
02/04/2020,50,142
03/04/2020,60,176
04/04/2020,79,216
05/04/2020,94,249
06/04/2020,125,307
07/04/2020,141,369
08/04/2020,174,419
09/04/2020,194,481
10/04/2020,233,559
11/04/2020,273,641
12/04/2020,296,729
13/04/2020,332,830
14/04/2020,406,944
15/04/2020,449,1061
16/04/2020,486,1168
17/04/2020,546,1311
18/04/2020,650,1448
19/04/2020,686,1629
20/04/2020,712,1841
21/04/2020,857,2058
22/04/2020,970,2274
23/04/2020,1069,2505
24/04/2020,1221,2769
25/04/2020,1305,3060
26/04/2020,1351,3369
27/04/2020,1434,3653
28/04/2020,1569,3979
29/04/2020,1732,4364
30/04/2020,1859,4716
01/05/2020,1972,5127
02/05/2020,2061,5484
03/05/2020,2154,5854
04/05/2020,2270,6314
05/05/2020,2507,6764
06/05/2020,2704,7179
07/05/2020,2961,7586
08/05/2020,3160,8027
09/05/2020,3353,8445
10/05/2020,3465,8901
11/05/2020,3573,9362
12/05/2020,3926,9849
13/05/2020,4220,10343
14/05/2020,4477,10891
15/05/2020,4767,11447
16/05/2020,5045,11980
17/05/2020,5177,12564
18/05/2020,5332,13156
19/05/2020,5666,13736
20/05/2020,6090,14305
21/05/2020,6510,14880
22/05/2020,6989,15439
23/05/2020,7179,15977
24/05/2020,7394,16583
25/05/2020,7633,17211
26/05/2020,8134,17826
27/05/2020,8597,18422
28/05/2020,9044,19048
29/05/2020,9415,19625
30/05/2020,9779,20236
31/05/2020,9930,20868
01/06/2020,10167,21559
02/06/2020,10637,22209
03/06/2020,11728,22885
04/06/2020,12545,23540
05/06/2020,13170,24136
06/06/2020,13511,24803
07/06/2020,13699,25490
08/06/2020,14053,26228
09/06/2020,14649,26918
10/06/2020,15357,27624
11/06/2020,15944,28297
12/06/2020,16448,29031
13/06/2020,16872,29728
14/06/2020,17141,30447
15/06/2020,17580,31160
16/06/2020,18310,31936
17/06/2020,19080,32691
18/06/2020,19747,33368
19/06/2020,20394,34019
20/06/2020,20781,34636
21/06/2020,21825,35329
22/06/2020,22584,35998
23/06/2020,23377,36640
24/06/2020,24324,37287
25/06/2020,25060,37913
26/06/2020,25779,38583
27/06/2020,26381,39284
28/06/2020,26648,39976
29/06/2020,27121,40734
30/06/2020,27769,41451
01/07/2020,28510,42145
02/07/2020,29189,42848
03/07/2020,29843,43552
04/07/2020,30366,44291
05/07/2020,30639,45044
06/07/2020,31119,45869
07/07/2020,32014,46694
08/07/2020,32796,47432
09/07/2020,33526,48195
10/07/2020,34191,48924
11/07/2020,34730,49664
12/07/2020,35006,50422
13/07/2020,35491,51252
14/07/2020,36327,52058
15/07/2020,36906,52860
16/07/2020,37574,53676
17/07/2020,38310,54443
18/07/2020,38888,55190
19/07/2020,39184,55994
20/07/2020,39485,56796
21/07/2020,40400,57635
22/07/2020,41190,58387
23/07/2020,41908,59171
24/07/2020,42645,59904
25/07/2020,43374,60681
26/07/2020,43680,61465
27/07/2020,44022,62273
28/07/2020,44876,63052
29/07/2020,45361,63736
30/07/2020,46000,64484
31/07/2020,46688,65159
01/08/2020,47472,65894
02/08/2020,47746,66590
03/08/2020,48012,67347
04/08/2020,48869,68124
05/08/2020,49698,68842
06/08/2020,50517,69536
07/08/2020,51311,70180
08/08/2020,52006,70864
09/08/2020,52298,71518
10/08/2020,53003,72191
11/08/2020,53929,72890
12/08/2020,54666,73507
13/08/2020,55293,74122
14/08/2020,55908,74702
15/08/2020,56543,75288
16/08/2020,56757,75864
17/08/2020,57023,76489
18/08/2020,57774,77055
19/08/2020,58481,77641
20/08/2020,59106,78205
21/08/2020,59610,78762
22/08/2020,60254,79331
23/08/2020,60480,79855
24/08/2020,60800,80396
25/08/2020,60800,80941
26/08/2020,62076,81462
27/08/2020,62594,81953
28/08/2020,63146,82484
29/08/2020,63819,82999
30/08/2020,64158,83524
31/08/2020,64414,84071
01/09/2020,65241,84576
02/09/2020,65816,85066
03/09/2020,66329,85556
04/09/2020,66851,86035
05/09/2020,67326,86497
06/09/2020,67558,86957
07/09/2020,67781,87448
08/09/2020,68484,87876
09/09/2020,69095,88358
10/09/2020,69095,88795
11/09/2020,70183,89234
12/09/2020,70604,89700
13/09/2020,70821,90102
14/09/2020,71049,90554
15/09/2020,71678,90995
16/09/2020,71978,91415
17/09/2020,72179,91814
18/09/2020,72803,92185
19/09/2020,73258,92586
20/09/2020,73493,93009
21/09/2020,73697,93417
22/09/2020,74348,93847
23/09/2020,74949,94243
24/09/2020,75439,94652
25/09/2020,75844,95020
26/09/2020,76243,95406
27/09/2020,76430,95771
28/09/2020,76603,96148
29/09/2020,77163,96522
30/09/2020,77646,96877
01/10/2020,78078,97241
02/10/2020,78492,97608
03/10/2020,78492,97972
04/10/2020,79088,98318
05/10/2020,79268,98692
06/10/2020,79714,99054
07/10/2020,82726,99408
08/10/2020,83096,99763
09/10/2020,83507,100089
10/10/2020,83642,100472
11/10/2020,83781,100832
12/10/2020,83945,101252
13/10/2020,84420,101636
14/10/2020,84898,102007
15/10/2020,85285,102401
16/10/2020,85704,102770
17/10/2020,86059,103166
18/10/2020,86167,103566
19/10/2020,86338,104038
20/10/2020,86893,104474
21/10/2020,87415,104948
22/10/2020,87894,105409
23/10/2020,88312,105864
24/10/2020,88743,106309
25/10/2020,88924,106795
26/10/2020,89171,107292
27/10/2020,89814,107755
28/10/2020,90309,108234
29/10/2020,90773,108726
30/10/2020,91289,109194
31/10/2020,91753,109643
01/11/2020,91895,110102
02/11/2020,92100,110614
03/11/2020,92593,111107
04/11/2020,93228,111600
05/11/2020,93772,112114
06/11/2020,94323,112662
07/11/2020,94808,113136
08/11/2020,95027,113632
09/11/2020,95225,114151
10/11/2020,95842,114639
11/11/2020,96430,115154
12/11/2020,97056,115699
13/11/2020,97624,116216
14/11/2020,98259,116720
15/11/2020,98542,117232
16/11/2020,98861,117746
17/11/2020,99026,118311
18/11/2020,99528,118845
19/11/2020,100104,119339
20/11/2020,100823,119909
21/11/2020,101373,120467
22/11/2020,101676,121090
23/11/2020,101926,121651
24/11/2020,102739,122219
25/11/2020,103597,122771
26/11/2020,104242,123342
27/11/2020,104871,123961
28/11/2020,105459,124521
29/11/2020,105655,125097
30/11/2020,105940,125739
01/12/2020,106765,126398
02/12/2020,107565,127007
03/12/2020,108173,127599
04/12/2020,108863,128187
05/12/2020,109456,128829
06/12/2020,109717,129466
07/12/2020,110074,130138
08/12/2020,110874,130770
09/12/2020,111655,131457
10/12/2020,112326,132127
11/12/2020,113019,132822
12/12/2020,113704,133546
13/12/2020,113953,134250
14/12/2020,114298,134990
15/12/2020,115099,135739
16/12/2020,115769,136476
17/12/2020,116487,137214
18/12/2020,117249,137971
19/12/2020,117876,138765
20/12/2020,118202,139539
21/12/2020,118598,140424
22/12/2020,119495,141232
23/12/2020,120311,142055
24/12/2020,121172,142892
25/12/2020,121837,143727
26/12/2020,122026,144608
27/12/2020,122426,145519
28/12/2020,122855,146482
29/12/2020,123845,147447
30/12/2020,124897,148389
31/12/2020,125807,149271
01/01/2021,126507,150252
02/01/2021,126851,151239
03/01/2021,127213,152259
04/01/2021,127757,153362
05/01/2021,128822,154409
06/01/2021,129987,155561
07/01/2021,131031,156613
08/01/2021,132069,157792
09/01/2021,133204,158918
10/01/2021,133706,160101
11/01/2021,134368,161383
12/01/2021,135682,162595
13/01/2021,136917,163819
14/01/2021,137916,165065
15/01/2021,139022,166344
16/01/2021,140241,167603
17/01/2021,140704,168979
18/01/2021,141248,170357
19/01/2021,142832,171774
20/01/2021,144371,173237
21/01/2021,146174,174627
22/01/2021,147614,175990
23/01/2021,149084,177304
24/01/2021,149614,178692
25/01/2021,150273,180129
26/01/2021,152016,181515
27/01/2021,153639,182812
28/01/2021,155145,184030
29/01/2021,156579,185255
30/01/2021,158074,186465
31/01/2021,158536,187607
01/02/2021,159100,188860
02/02/2021,159533,190074
03/02/2021,161240,191192
04/02/2021,162922,192251
05/02/2021,164290,193264
06/02/2021,165786,194275
07/02/2021,166200,195206
08/02/2021,166731,196251
09/02/2021,168432,197192
10/02/2021,169760,198054
11/02/2021,171234,198950
12/02/2021,172557,199775
13/02/2021,173771,200519
14/02/2021,174207,201275
15/02/2021,174657,202067
16/02/2021,175986,202819
17/02/2021,177061,203543
18/02/2021,178108,204207
19/02/2021,178965,204899
20/02/2021,179797,205492
21/02/2021,180107,206195
22/02/2021,181809,206905
23/02/2021,181809,207489
24/02/2021,182815,208071
25/02/2021,183692,208636
26/02/2021,184474,209195
27/02/2021,185257,209770
28/02/2021,185715,210333
01/03/2021,186152,210900
02/03/2021,187187,211435
03/03/2021,188044,211926
04/03/2021,188866,212416
05/03/2021,189578,212918
06/03/2021,190357,213380
07/03/2021,190604,213849
08/03/2021,190923,214355
09/03/2021,191789,214798
10/03/2021,192488,215299
11/03/2021,193142,215769
12/03/2021,193851,216171
13/03/2021,194490,216582
14/03/2021,194710,217034
15/03/2021,194944,217421
16/03/2021,195119,217802
17/03/2021,195908,218188
18/03/2021,196606,218546
19/03/2021,197219,218910
20/03/2021,197827,219247
21/03/2021,198036,219614
22/03/2021,198239,219961
23/03/2021,199048,220347
24/03/2021,199627,220673
25/03/2021,200211,220958
26/03/2021,200862,221237
27/03/2021,201429,221539
28/03/2021,201623,221872
29/03/2021,201826,222195
30/03/2021,202633,222503
31/03/2021,203210,222800
01/04/2021,203664,223082
02/04/2021,203854,223370
03/04/2021,204011,223663
04/04/2021,204147,223917
05/04/2021,204399,224220
06/04/2021,205002,224485
07/04/2021,205598,224781
08/04/2021,206146,225060
09/04/2021,207020,225330
10/04/2021,209212,225589
11/04/2021,209338,225840
12/04/2021,209702,226086
13/04/2021,210294,226371
14/04/2021,210812,226624
15/04/2021,211213,226886
16/04/2021,211693,227128
17/04/2021,212228,227377
18/04/2021,212339,227578
19/04/2021,212466,227802
20/04/2021,213048,228037
21/04/2021,213597,228258
22/04/2021,214095,228448
23/04/2021,214504,228649
24/04/2021,214853,228853
25/04/2021,214947,229048
26/04/2021,215113,229253
27/04/2021,215547,229442
28/04/2021,215918,229631
29/04/2021,216447,229833
30/04/2021,216907,229982
01/05/2021,217168,230148
02/05/2021,217233,230330
03/05/2021,217345,230493
04/05/2021,217740,230640
05/05/2021,218007,230806
06/05/2021,218173,230952
07/05/2021,218657,231079
08/05/2021,218928,231201
09/05/2021,218985,231342
10/05/2021,219089,231499
11/05/2021,219323,231617
12/05/2021,219590,231745
13/05/2021,219901,231848
14/05/2021,220159,231973
15/05/2021,220384,232071
16/05/2021,220437,232185
17/05/2021,220493,232306
18/05/2021,220746,232428
19/05/2021,220850,232541
20/05/2021,221080,232641
21/05/2021,221256,232738
22/05/2021,221597,232819
23/05/2021,221647,232935
24/05/2021,221695,233039
25/05/2021,221960,233145
26/05/2021,222232,233237
27/05/2021,222661,233335
28/05/2021,223072,233430
29/05/2021,223455,233518
30/05/2021,223507,233608
31/05/2021,223568,233712
01/06/2021,227840,233802
02/06/2021,228146,233889
03/06/2021,228362,233953
04/06/2021,228568,234041
05/06/2021,228754,234137
06/06/2021,228804,234220
07/06/2021,228838,234319
08/06/2021,229100,234416
09/06/2021,229353,234508
10/06/2021,229580,234589
11/06/2021,229823,234697
12/06/2021,230097,234770
13/06/2021,230150,234852
14/06/2021,230187,234944
15/06/2021,230428,235037
16/06/2021,230624,235127
17/06/2021,230792,235223
18/06/2021,230959,235316
19/06/2021,231151,235401
20/06/2021,231187,235513
21/06/2021,231244,235618
22/06/2021,231505,235718
23/06/2021,231847,235814
24/06/2021,232068,235910
25/06/2021,232346,236017
26/06/2021,232521,236123
27/06/2021,232564,236236
28/06/2021,232608,236359
29/06/2021,232803,236481
30/06/2021,233047,236607
01/07/2021,233248,236741
02/07/2021,233425,236870
03/07/2021,233580,236984
04/07/2021,233622,237132
05/07/2021,233689,237269
06/07/2021,233958,237434
07/07/2021,234192,237594
08/07/2021,234458,237734
09/07/2021,234675,237871
10/07/2021,234907,238016
11/07/2021,234969,238186
12/07/2021,235058,238395
13/07/2021,235277,238568
14/07/2021,235507,238774
15/07/2021,235740,238985
16/07/2021,236015,239205
17/07/2021,236240,239435
18/07/2021,236331,239673
19/07/2021,236469,239950
20/07/2021,236810,240250
21/07/2021,237207,240567
22/07/2021,237626,240852
23/07/2021,237954,241192
24/07/2021,238316,241511
25/07/2021,238424,241881
26/07/2021,238595,242287
27/07/2021,239079,242696
28/07/2021,239616,243133
29/07/2021,239997,243571
30/07/2021,240456,244056
31/07/2021,240906,244549
01/08/2021,241034,245061
02/08/2021,241279,245635
03/08/2021,241936,246157
04/08/2021,242547,246699
05/08/2021,243165,247265
06/08/2021,243733,247838
07/08/2021,244248,248410
08/08/2021,244420,248971
09/08/2021,244690,249622
10/08/2021,245476,250277
11/08/2021,246203,250904
12/08/2021,246811,251542
13/08/2021,247414,252179
14/08/2021,248167,252853
15/08/2021,248380,253524
16/08/2021,248652,254237
17/08/2021,249529,254908
18/08/2021,250469,255684
19/08/2021,251319,256348
20/08/2021,252080,257032
21/08/2021,252927,257771
22/08/2021,253155,258411
23/08/2021,253526,259174
24/08/2021,254466,259880
25/08/2021,255452,260537
26/08/2021,256287,261244
27/08/2021,257150,261900
28/08/2021,257906,262546
29/08/2021,258165,263206
30/08/2021,258491,263869
31/08/2021,259326,264529
01/09/2021,260503,265128
02/09/2021,261496,265717
03/09/2021,262221,266310
04/09/2021,262868,266863
05/09/2021,263140,267436
06/09/2021,263470,268005
07/09/2021,264541,268560
08/09/2021,265420,269071
09/09/2021,266150,269602
10/09/2021,266849,270101
11/09/2021,267524,270564
12/09/2021,267748,271035
13/09/2021,267969,271516
14/09/2021,269016,271963
15/09/2021,269913,272384
16/09/2021,270348,272789
17/09/2021,270538,273210
18/09/2021,271303,273584
19/09/2021,271503,273939
20/09/2021,271765,274342
21/09/2021,272580,274686
22/09/2021,273391,274983
23/09/2021,274139,275226
24/09/2021,274703,275302
25/09/2021,275303,275303
